_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
13,551.2,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,5259.014349405705,-94.741,993.161,-1087.902,98.023,-0.393,71962,34956,37006,458611524.0059,460123619.1106,112.9,0.0036,0.8946,20,247102,0,339050.9562,752015.4243,-412964.468,339.051,752.015,-412.964,318.223
16,964.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,4218.404339327432,-95.782,993.161,-1088.943,99.301,-0.442,82015,40927,41088,825978146.6944,827497903.5333,121.1,0.0067,1.0,983,24298,0,883979.7225,1953483.9993,-1069504.2768,883.98,1953.484,-1069.504,973.722
12,549.1,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,3899.429794151203,-96.101,993.161,-1089.262,98.671,-0.428,80382,39735,40647,569256249.9964,570770325.8479,109.2,-0.0054,0.9455,32,166194,0,462897.0676,989736.6378,-526839.5702,462.897,989.737,-526.84,430.739
15,980.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,2988.890520741958,-97.011,993.161,-1090.172,99.137,-0.487,85064,42718,42346,741674957.7652,743190360.1599,101.2,0.0045,1.0,1507,6757,0,860136.4088,2053918.9822,-1193782.5734,860.136,2053.919,-1193.783,1096.772
9,552.0,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,2098.349450736032,-97.902,993.161,-1091.063,98.94,-0.67,89476,44040,45436,402371152.3694,403887852.1724,96.3,0.0048,0.8813,26,306224,0,261246.0731,638214.1111,-376968.0379,261.246,638.214,-376.968,279.066
7,539.6,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,1594.0741545059282,-98.406,993.161,-1091.567,99.002,-0.751,91654,46033,45621,512922165.8111,514439600.2809,76.5,-0.0042,0.945,32,166194,0,337174.6102,712074.2083,-374899.5981,337.175,712.074,-374.9,276.494
8,545.6,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,1088.1862794503772,-98.912,993.161,-1092.073,99.264,-0.889,73698,36578,37120,364308634.85,365826806.336,82.5,0.0063,0.9065,20,247102,0,212581.3865,494098.4361,-281517.0495,212.581,494.098,-281.517,182.605
11,545.0,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,1003.0526719794841,-98.997,993.161,-1092.158,99.542,-0.844,86081,43201,42880,646797788.8824,648317545.7213,83.6,0.0029,1.0,983,24298,0,471969.0398,1083862.4961,-611893.4563,471.969,1083.862,-611.893,512.896
10,545.0,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,533.3073618015042,-99.467,993.161,-1092.628,99.519,-0.952,87547,44611,42936,519215149.1633,520734129.0393,67.5,0.0023,1.0,1507,6757,0,330602.4348,835280.4262,-504677.9913,330.602,835.28,-504.678,405.211
3,542.2,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,256.1295984447822,-99.744,993.161,-1092.905,99.809,-1.315,94173,46677,47496,377269676.9005,378789060.5902,62.3,0.0048,0.8584,20,247102,0,166498.3723,401624.3232,-235125.9509,166.498,401.624,-235.126,135.382
4,547.2,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,243.67591678247817,-99.756,993.161,-1092.917,99.816,-1.339,97781,47720,50061,332615346.5102,334134748.3434,75.6,-0.003,0.8604,26,306224,0,152819.7938,390608.778,-237788.9842,152.82,390.609,-237.789,138.033
6,538.2,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,141.05456700838715,-99.859,993.161,-1093.02,99.888,-1.399,88517,44922,43595,521399969.6838,522919526.5714,53.0,0.001,1.0,983,24298,0,226824.6594,568550.8171,-341726.1577,226.825,568.551,-341.726,241.867
2,542.3,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,108.57717918160716,-99.891,993.161,-1093.053,99.933,-1.53,94397,47720,46677,422148354.2963,423667952.9517,47.1,-0.0028,0.9399,32,166194,0,156791.5272,377226.1908,-220434.6636,156.792,377.226,-220.435,120.544
5,536.7,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,26.95205968929916,-99.973,993.161,-1093.134,99.974,-1.763,90120,45938,44182,427005263.41,428524980.9831,43.6,0.0015,1.0,1507,6757,0,122399.1985,350368.2328,-227969.0343,122.399,350.368,-227.969,127.996
1,544.8,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,4.370983399145158,-99.996,993.161,-1093.157,99.997,-2.383,92762,47660,45102,453169568.4716,454689318.9472,33.1,0.0005,1.0,983,24298,0,85382.086,254656.515,-169274.429,85.382,254.657,-169.274,69.278
0,542.1,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,0.25209830161215807,-100.0,993.161,-1093.161,100.0,-3.008,92902,47875,45027,380713773.9962,382233530.4678,25.9,0.001,1.0,1507,6757,0,48717.3265,174287.731,-125570.4045,48.717,174.288,-125.57,25.57
